idmunici|ccdd|ccpp|ccdi|Departamento|Provincia|Distrito|Tipomuni|VFI|P03|P04_1|P04_2|P04_3|P04_4|P04_5|P04_6|P05_CC|P05_1|P05_2|P05_3|P06_CC|P06|P07|P08|P09|P10_1|P10_2|P10_3|P10_4
010403|01|04|03|AMAZONAS|CONDORCANQUI|RIO SANTIAGO|2|1|0|1|ZACARIAS|S/N||||041||||041|975015137|WWW.FACEBOOK.COM/2015CONFUTURO.2018/|MUNIRIOSANTIAGO84@GMAIL.COM|-|MARCIAL|PETSA|TSEJEM|2
010501|01|05|01|AMAZONAS|LUYA|LAMUD|1|1|1|2|MIGUEL GRAU|528||||041||||041|837006|WWW.FACEBOOK.COM/PROVINCIADELUYA/|ALCALDIA@MUNILUYA.GOB.PE|WWW.MUNILUYA.GOB.PE|DIOGENES HUMBERTO|ZAVALETA|TENORIO|2
010502|01|05|02|AMAZONAS|LUYA|CAMPORREDONDO|2|1|0|2|SANTOS CHOCANO|2||||041|915376792|||041|915376792|WWW.FACEBOOK.COM/MUNICIPALIDAD-DISTRITAL-CAMPORREDONDO-412746988914429/|MUNICCAMPORREDONDO@GMAIL.COM|-|CEIBER ALBERT|LOZANO|VASQUEZ|2
010503|01|05|03|AMAZONAS|LUYA|COCABAMBA|2|1|0|3|CEMENTERIO|S/N||||041|944928167|||041|968635090|-|MUNICOCABAMBA@GMAIL.COM|-|SEGUNDO PEDRO|CULQUIMBOZ|ROJAS|2
010504|01|05|04|AMAZONAS|LUYA|COLCAMAR|2|1|1|2|28 DE JULIO|S/N||||041|960781316|||041|950854821|WWW.FACEBOOK.COM/MUNICIPALIDADDISTRITALDECOLCAMAR/|MUNIDISTRITALCOLCAMAR@GMAIL.COM|WWW.MUNICONDORCANQUI.GOB.PE|LESTER|MENDOZA|HUAMAN|2
010505|01|05|05|AMAZONAS|LUYA|CONILA|2|1|0|2|BOLOGNESI S/N - PLAZA MAYOR MAURICIO TOMANGUILLA|S/N||||041||||041|921697488|WWW.FACEBOOK.COM/MUNICIPALIDADCOLINA/|MUNICIPALIDADDECONILA@GMAIL.COM|-|GILMER|CULLAMPE|CANTA|2
010506|01|05|06|AMAZONAS|LUYA|INGUILPATA|2|1|0|2|SAN ISIDRO|S/N||||041||||041|941932194|-|MUNICIPALIDADDEINGUILPATA@GMAIL.COM|-|GEINER|ZAGACETA|ZAGACETA|2
010507|01|05|07|AMAZONAS|LUYA|LONGUITA|2|1|0|1|SAN MARTÍN S/N - LONGUITA|S/N|G|14|23|041|970200395|||041|945173973|-|LONGUITAMDL2019@HOTMAIL.COM|-|MIGUEL|CRUZ|LASERNA|2
010508|01|05|08|AMAZONAS|LUYA|LONYA CHICO|2|1|0|2|ORTIZ ARRIETA|585||||041||||041|920728207|-|EFRAINGUERRA@MUNILONYACHICO.GOB.PE|WWW.MUNILONYACHICO.GOB.PE|EFRAIN|GUERRA|GOMEZ|2
010509|01|05|09|AMAZONAS|LUYA|LUYA|2|1|0|2|DIEGO MORI ZUTA|447||||041||||041|938657377|WWW.FACEBOOK.COM/MUNILUYA|MUNILUYA1732@GMAIL.COM|WWW.MUNILUYA-AMAZONAS.GOB.PE|NEWMAN EDGARD|TUESTA|AGUILAR|2
010510|01|05|10|AMAZONAS|LUYA|LUYA VIEJO|2|1|0|2|PROGRESO|343||||041||||041|927225506|-|MUNILUYAVIEJO73@GMAIL.COM|-|LAURIANO|FERNANDEZ|COLLANTES|2
010511|01|05|11|AMAZONAS|LUYA|MARIA|2|1|3|2|BOLOGNESI|S/N||||041|941700799|||041||-|MUNI.MARI.2019@GMAIL.COM|-|PERLA DEL CARMEN|TORREJON|CRUZ|1
010512|01|05|12|AMAZONAS|LUYA|OCALLI|2|1|0|1|LIBERTAD|598||||041|948253560|||041|948253560|-|MDOCALLI2019@HOTMAIL.COM|-|ARON|FUENTES|DAVILA|2
010513|01|05|13|AMAZONAS|LUYA|OCUMAL|2|1|0|3|AMAZONAS|S/N||||041|956982136|||041|992892437|-|M.D.OCUMAL@HOTMAIL.COM|-|ROBERT|MENDOZA|MESTANZA|2
010514|01|05|14|AMAZONAS|LUYA|PISUQUIA|2|1|0|6|PLAZA DE ARMAS YOMBLON|S/N||||041|953903506|||041|948775129|-|MUNIPISUQUIA_LUYA@HOTMAIL.COM|-|EDILBERTO|CHAVEZ|MEDINA|2
010515|01|05|15|AMAZONAS|LUYA|PROVIDENCIA|2|1|0|6|GLORIOSO VEGA|S/N||||041|938803717|||041|951608447|-|010515PROVIDENCIA@GMAIL.COM|-|WILDER|PUERTA|VASQUEZ|2
010516|01|05|16|AMAZONAS|LUYA|SAN CRISTOBAL|2|1|2|2|BONGARA|S/N||||041|959653935|||041|959653935|WWW.FACEBOOK.COM/MUNISANCRISTOBAL|MUNISANCRISTOBAL2013@HOTMAIL.COM|-|ANTOLINO|VALQUI|VARGAS|2
010517|01|05|17|AMAZONAS|LUYA|SAN FRANCISCO DEL YESO|2|1|1|2|SIMON BOLÍVAR|S/N||||041||||041|941960993|-|MUNICIPIODELYESO@HOTMAIL.COM|-|WILLIAM|LOPEZ|ALVA|2
010518|01|05|18|AMAZONAS|LUYA|SAN JERONIMO|2|1|5|2|22 DE NOVIEMBRE|209||||041||||041|945879990|-|MUNISANJERONIMO_PACLAS@HOTMAIL.COM|-|QUELMER|GOMEZ|POQUIOMA|2
010519|01|05|19|AMAZONAS|LUYA|SAN JUAN DE LOPECANCHA|2|1|0|2|MIRADOR DE VALLE UTCUBAMBA|150||||041|478014|||041|976939820|-|SANJUANDELOPECANCHA5@GMAIL.COM|-|DENY ALCIVIADES|GUTIERREZ|TORREJON|2
010520|01|05|20|AMAZONAS|LUYA|SANTA CATALINA|2|1|0|2|COMERCIO|S/N||||041||||041|951878174|-|MUNISANTACATALINA2@GMAIL.COM|-|LEONCIO|GOMEZ|VELA|2
010521|01|05|21|AMAZONAS|LUYA|SANTO TOMAS|2|1|2|2|SAN MARTÍN|351||||041||||041|927979381|-|ANVEHE723@GMAIL.COM|-|ENRIQUE|RITUAY|CHAVEZ|2
010522|01|05|22|AMAZONAS|LUYA|TINGO|2|1|4|2|KUELAP|454||||041||||041|999639381|-|MUNICIPALIDADTINGO@GMAIL.COM|-|NEWMAN|GARCIA|VARGAS|2
010523|01|05|23|AMAZONAS|LUYA|TRITA|2|1|2|2|PROGRESO|S/N||||041|916740165|||041|928730911|WWW.FACEBOOK.COM/MUNI.TRITA|AMUNITRITA1260@HOTMAIL.COM|-|ALBERTO|YALTA|VELA|2
010601|01|06|01|AMAZONAS|RODRIGUEZ DE MENDOZA|SAN NICOLAS|1|1|0|2|MATIAZA RIMACHI|510||||041|476020|||041|476020|WWW.FACEBOOK.COM/MENDOZAMP/|MUNIMENDOZA.INFO@GMAIL.COM|-|HELDER|RODRIGUEZ|ZELADA|2
010602|01|06|02|AMAZONAS|RODRIGUEZ DE MENDOZA|CHIRIMOTO|2|1|0|4|ESQUINA DE LA PLAZA DE ARMAS|S/N||||041|970285775|||041|984078993|-|MDCH.010602@GMAIL.COM|-|TEOFILO|IZQUIERDO|LEON|2
010603|01|06|03|AMAZONAS|RODRIGUEZ DE MENDOZA|COCHAMAL|2|1|1|2|SAN MARTÍN|S/N||||041||||041|935862064|-|MUNIDISTRITALCOCHAMAL@GMAIL.COM|-|JOSE FAUSTO|LOPEZ|TUESTA|2
010604|01|06|04|AMAZONAS|RODRIGUEZ DE MENDOZA|HUAMBO|2|1|0|2|PORVENIR|421||||041||||041|949755722|WWW.FACEBOOK.COM/MUNICIPALIDADHUAMBO|MUNIJAPA@GMAIL.COM|-|NOHEMIAS|LOPEZ|AGUILAR|2
010605|01|06|05|AMAZONAS|RODRIGUEZ DE MENDOZA|LIMABAMBA|2|1|0|2|ANDREA ORTEGA|302||||041|956612379|||041|985111196|-|LIMABAMBA010605@MAIL.COM|-|ALINSON|RIVA|NOVOA|2
010606|01|06|06|AMAZONAS|RODRIGUEZ DE MENDOZA|LONGAR|2|1|0|2|HERMANOS VARGAS|100||||041|947460569|986572090|913045553|041|917197772|-|MUNILONGAR@HOTMAIL.COM|-|AMANDO|LOPEZ|MUÑOZ|2
010607|01|06|07|AMAZONAS|RODRIGUEZ DE MENDOZA|MARISCAL BENAVIDES|2|1|0|2|SAN NICOLÁS|299||||041|951546899|||041|951546899|-|MESADEPARTESMARISCALBENAVIDES@GMAIL.COM|-|MARIO|OCAMPO|SALDAÑA|2
010608|01|06|08|AMAZONAS|RODRIGUEZ DE MENDOZA|MILPUC|2|1|0|1|AMAZONAS|S/N||||041|631104|||041|970928253|-|OVEDPORTOCARRERO@GMAIL.COM|-|OBED|PORTOCARRERO|PORTOCARRERO|2
010609|01|06|09|AMAZONAS|RODRIGUEZ DE MENDOZA|OMIA|2|1|0|1|VIRGEN DEL ROSARIO|245||||041||||041|943848657|WWW.FACEBOOK.COM/MUNICIPALIDADDEOMIA/|MUNIDEOMIA@HOTMAIL.COM|-|JAVIER|DEL AGUILA|TAFUR|2
010610|01|06|10|AMAZONAS|RODRIGUEZ DE MENDOZA|SANTA ROSA|2|1|0|2|MARTÍNEZ DE COMPAÑON|S/N||||041|950420713|||041|964044874|-|MPVSANTAROSA23@GMAIL.COM|-|JOSE NERIDO|ARBILDO|AGUILAR|2
010611|01|06|11|AMAZONAS|RODRIGUEZ DE MENDOZA|TOTORA|2|1|0|2|CAROLINA PORTOCARRERO|S/N|7|6||041||||041|947823502|-|MUNICIPALIDADDETOTORA@GMAIL.COM|-|JULIO CESAR|FERNANDEZ|PORTOCARRERO|2
010612|01|06|12|AMAZONAS|RODRIGUEZ DE MENDOZA|VISTA ALEGRE|2|1|0|2|LOS TRAUCOS|S/N||||041||||041|956467273|WWW.FACEBOOK.COM/MUNICIPALIDAD-DISTRITAL-DE-VISTA-ALEGRE-PAGINA-OFICIAL-485953868104737/|MUNIVISTAALEGRE.AMAZONAS@GMAIL.COM|-|MILDER|ROJAS|CAMPOS|2
010701|01|07|01|AMAZONAS|UTCUBAMBA|BAGUA GRANDE|1|1|5|2|ANGAMOS|349||||041|475032|944909944||041|475029|WWW.FACEBOOK.COM/MUNIUTCUBAMBA|MESAPARTES@MUNIUTCUBAMBA.GOB.PE|WWW.MUNIUTCUBAMBA.GOB.PE|HIDELFONSO|GUEVARA|HONORES|2
010702|01|07|02|AMAZONAS|UTCUBAMBA|CAJARURO|2|1|1|3|SAN MIGUEL|650||||041||||041|932104907|WWW.FACEBOOK.COM/MUNICAJARURO/|MUNICAJARURO@MUNICAJARURO.GOB.PE|WWW.MUNICAJARURO.GOB.PE|HILDEBRANDO|TINEO|DIAZ|2
010703|01|07|03|AMAZONAS|UTCUBAMBA|CUMBA|2|1|0|1|SAN PEDRO|1059||||041||||041|921138907|WWW.FACEBOOK.COM/MUNICIPALIDAD-DISTRITAL-DE-CUMBA-1780178222239948/|MUNICIPALIDADCUMBA@GMAIL.COM|-|ELVIS ROBERT|RAMOS|GUEVARA|2
010704|01|07|04|AMAZONAS|UTCUBAMBA|EL MILAGRO|2|1|4|2|LAMBAYEQUE|183||||041||||041|956836585|WWW.FACEBOOK.COM/MUNIMILAGRO.GOB|MUNIELMILAGRO@HOTMAIL.COM|-|RENE|VARGAS|CORONEL|2
010705|01|07|05|AMAZONAS|UTCUBAMBA|JAMALCA|2|1|2|2|SAN MARTÍN|345||||041|931791830|||041|948207705|-|MUNIJAMALCA@HOTMAIL.COM|-|EDINSON|URBINA|LOPEZ|2
010706|01|07|06|AMAZONAS|UTCUBAMBA|LONYA GRANDE|2|1|0|2|DOS DE MAYO|256||||041||||041|943108618|WWW.FACEBOOK.COM/MDLG010706/|MDLG@MUNILONYAGRANDE.GOB.PE|WWW.MUNILONYAGRANDE.GOB.PE|SEGUNDO DAMIAN|TICLLA|HIDROGO|2
010707|01|07|07|AMAZONAS|UTCUBAMBA|YAMON|2|1|0|2|SAN ANTONIO|S/N||||041|990099737|||041|920854819|WWW.FACEBOOK.COM/MUNICIPALIDADDEYAMON/|MUNIYAMON2020@GMAIL.COM|-|GILBERTO|AREVALO|TORRES|2
020101|02|01|01|ANCASH|HUARAZ|HUARAZ|1|1|0|1|LUZURIAGA|734||||043|424126|||043|429955|WWW.FACEBOOK.COM/MUNIHUARAZ|MESADEPARTES@MUNIHUARAZ.GOB.PE|WWW.MUNIHUARAZ.GOB.PE|ELISEO RORI|MAUTINO|ANGELES|2
020102|02|01|02|ANCASH|HUARAZ|COCHABAMBA|2|1|0|6|PLAZA DE ARMAS|1||||043||||043|990355534|WWW.FACEBOOK.COM/MUNICIPALIDAD.COCHABAMBA|MUNIDIST.COCHABAMBA@GMAIL.COM|-|CLETO MARCELINO|CHAVEZ|RAMIREZ|2
020103|02|01|03|ANCASH|HUARAZ|COLCABAMBA|2|1|2|6|PLAZA DE ARMAS|1|1|1|17|043|953064524|||043|929737300|-|HEDEPAREDESALCALDEMUNICOLCBAMBA@HOTMAIL.COM|-|HEDER ANTONIO|PAREDES|CHINCHAY|2
020104|02|01|04|ANCASH|HUARAZ|HUANCHAY|2|1|0|1|JUNIN|S/N||||043||||043|932930393|-|MUNIHUANCHAY@GMAIL.COM|-|JUAN DE DIOS|GARCIA|OSORIO|2
020105|02|01|05|ANCASH|HUARAZ|INDEPENDENCIA|2|1|0|2|PABLO PATRON|257||||043|422048|396262||043|396262|WWW.FACEBOOK.COM/MUNIMDI/|ALCALDIA@MUNIDI.GOB.PE|WWW.MUNIDI.GOB.PE|FIDENCIO|SANCHEZ|CAURURO|2
020106|02|01|06|ANCASH|HUARAZ|JANGAS|2|1|0|6|PLAZA DE ARMAS|S/N||||043|958528184|959973833||043|971191623|WWW.FACEBOOK.COM/MUNICIPALIDADDEJANGAS/|ALCALDIA@MUNIJANGAS.GOB.PE|-|GILMER ROLIN|MENDOZA|CAUSHI|2
020107|02|01|07|ANCASH|HUARAZ|LA LIBERTAD|2|1|0|6|PLAZA DE ARMAS CAJAMARQUILLA|S/N||||043||||043|934275025|-|MESADEPARTES.MDLL@GMAIL.COM|-|GILBERTO WILLIAN|PICON|JAMANCA|2
020108|02|01|08|ANCASH|HUARAZ|OLLEROS|2|1|0|1|DAGOBERTO CÁCERES|117||||043||||043|925123269|-|MUNI.OLLEROS.HUARAZ@GMAIL.COM|-|ROMMEL ESTIFER|GLORIA|HUERTA|2
020109|02|01|09|ANCASH|HUARAZ|PAMPAS GRANDE|2|1|0|1|ROJAS CADILLO|S/N||||043|938126545|936952802||043|956568456|-||-|INOCENCIO NEMECIO|VILLAFUERTE|COLONIA|2
020110|02|01|10|ANCASH|HUARAZ|PARIACOTO|2|1|0|6|PLAZA DE ARMAS|304||||043||||043||-|MESAPARTESMDP@GMAIL.COM|-|CESAR|SANCHEZ|MEJIA|2
020111|02|01|11|ANCASH|HUARAZ|PIRA|2|1|0|6|PLAZA DE ARMAS|S/N||||043||||043|943802099|WWW.FACEBOOK.COM/MUNIPIRA2013|MUNICIPALIDADDISTRITALPIRA@GMAIL.COM|-|HECTOR RAUL|OBREGON|INTI|2
020112|02|01|12|ANCASH|HUARAZ|TARICA|2|1|0|6|PLAZA DE ARMAS|1||||043||||043|930768335|WWW.FACEBOOK.COM/MUNITARICA.GOB.PE/|MUNITARICA19.22@GMAIL.COM|WWW.MUNITARICA.GOB.PE|EFRAIN DAMIAN|GARRO|VILLACORTA|2
020201|02|02|01|ANCASH|AIJA|AIJA|1|1|6|6|PLAZA DE ARMAS|S/N|D1|6||043|956480013|913048176|951451007|043|943343994|WWW.FACEBOOK.COM/MUNIAIJA|MUNIPROVINCIALAIJA@GMAIL.COM|WWW.MUNIAIJA.GOB.PE|PEDRO MOISES|ROQUE|ITA|2
